#TYPE System.IO.TreeView
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Length","Children","Depth","TreeName","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository","Labautomation","C","Microsoft.PowerShell.Core\FileSystem","True","246254","System.Object[]","5","Labautomation\","d-----","Labautomation","System.Collections.Generic.List`1[System.String]",,"Labautomation","C:\data\Workspace\Repository\Labautomation","Repository","True","C:\","","06/24/2019 16:24:36","06/24/2019 10:54:36","07/01/2019 09:19:25","07/01/2019 03:49:25","07/01/2019 09:19:25","07/01/2019 03:49:25","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\src","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation","src","C","Microsoft.PowerShell.Core\FileSystem","True","206603","System.Object[]","6","?? src\","d-----","src","System.Collections.Generic.List`1[System.String]",,"src","C:\data\Workspace\Repository\Labautomation\src","Labautomation","True","C:\","","06/24/2019 16:24:40","06/24/2019 10:54:40","06/25/2019 15:59:21","06/25/2019 10:29:21","06/25/2019 15:59:21","06/25/2019 10:29:21","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\src\css","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\src","css","C","Microsoft.PowerShell.Core\FileSystem","True","184274","System.Object[]","7","   ?? css\","d-----","css","System.Collections.Generic.List`1[System.String]",,"css","C:\data\Workspace\Repository\Labautomation\src\css","src","True","C:\","","06/24/2019 16:24:40","06/24/2019 10:54:40","06/25/2019 15:59:21","06/25/2019 10:29:21","06/25/2019 15:59:21","06/25/2019 10:29:21","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\src\dependencies","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\src","dependencies","C","Microsoft.PowerShell.Core\FileSystem","True","388","System.Object[]","7","   ?? dependencies\","d-----","dependencies","System.Collections.Generic.List`1[System.String]",,"dependencies","C:\data\Workspace\Repository\Labautomation\src\dependencies","src","True","C:\","","06/24/2019 16:24:40","06/24/2019 10:54:40","06/25/2019 15:59:22","06/25/2019 10:29:22","06/25/2019 15:59:21","06/25/2019 10:29:21","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation","BuildRequest","C","Microsoft.PowerShell.Core\FileSystem","True","24572","System.Object[]","6","?? BuildRequest\","d-----","BuildRequest","System.Collections.Generic.List`1[System.String]",,"BuildRequest","C:\data\Workspace\Repository\Labautomation\BuildRequest","Labautomation","True","C:\","","06/24/2019 16:24:40","06/24/2019 10:54:40","06/26/2019 01:03:53","06/25/2019 19:33:53","06/26/2019 01:03:53","06/25/2019 19:33:53","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest\8b6b7746-e039-4157-8ab5-bc3b9ef19390","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","8b6b7746-e039-4157-8ab5-bc3b9ef19390","C","Microsoft.PowerShell.Core\FileSystem","True","5002","System.Object[]","7","   ?? 8b6b7746-e039-4157-8ab5-bc3b9ef19390\","d-----","8b6b7746-e039-4157-8ab5-bc3b9ef19390","System.Collections.Generic.List`1[System.String]",,"8b6b7746-e039-4157-8ab5-bc3b9ef19390","C:\data\Workspace\Repository\Labautomation\BuildRequest\8b6b7746-e039-4157-8ab5-bc3b9ef19390","BuildRequest","True","C:\","","06/26/2019 01:02:40","06/25/2019 19:32:40","06/26/2019 01:02:40","06/25/2019 19:32:40","06/26/2019 01:02:40","06/25/2019 19:32:40","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest\01b5278e-4894-4ca6-b20a-a1ecf5d6fd99","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","01b5278e-4894-4ca6-b20a-a1ecf5d6fd99","C","Microsoft.PowerShell.Core\FileSystem","True","4978","System.Object[]","7","   ?? 01b5278e-4894-4ca6-b20a-a1ecf5d6fd99\","d-----","01b5278e-4894-4ca6-b20a-a1ecf5d6fd99","System.Collections.Generic.List`1[System.String]",,"01b5278e-4894-4ca6-b20a-a1ecf5d6fd99","C:\data\Workspace\Repository\Labautomation\BuildRequest\01b5278e-4894-4ca6-b20a-a1ecf5d6fd99","BuildRequest","True","C:\","","06/26/2019 01:03:53","06/25/2019 19:33:53","06/26/2019 01:03:53","06/25/2019 19:33:53","06/26/2019 01:03:53","06/25/2019 19:33:53","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest\e6c18c62-3e91-40a2-9724-abfa64081c29","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","e6c18c62-3e91-40a2-9724-abfa64081c29","C","Microsoft.PowerShell.Core\FileSystem","True","4864","System.Object[]","7","   ?? e6c18c62-3e91-40a2-9724-abfa64081c29\","d-----","e6c18c62-3e91-40a2-9724-abfa64081c29","System.Collections.Generic.List`1[System.String]",,"e6c18c62-3e91-40a2-9724-abfa64081c29","C:\data\Workspace\Repository\Labautomation\BuildRequest\e6c18c62-3e91-40a2-9724-abfa64081c29","BuildRequest","True","C:\","","06/26/2019 01:01:49","06/25/2019 19:31:49","06/26/2019 01:01:49","06/25/2019 19:31:49","06/26/2019 01:01:49","06/25/2019 19:31:49","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest\14bc41c9-48bc-4d6d-a374-8b4699262dd7","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","14bc41c9-48bc-4d6d-a374-8b4699262dd7","C","Microsoft.PowerShell.Core\FileSystem","True","4864","System.Object[]","7","   ?? 14bc41c9-48bc-4d6d-a374-8b4699262dd7\","d-----","14bc41c9-48bc-4d6d-a374-8b4699262dd7","System.Collections.Generic.List`1[System.String]",,"14bc41c9-48bc-4d6d-a374-8b4699262dd7","C:\data\Workspace\Repository\Labautomation\BuildRequest\14bc41c9-48bc-4d6d-a374-8b4699262dd7","BuildRequest","True","C:\","","06/26/2019 01:01:45","06/25/2019 19:31:45","06/26/2019 01:01:45","06/25/2019 19:31:45","06/26/2019 01:01:45","06/25/2019 19:31:45","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest\819dcac2-f719-44d5-9b03-c4a79c2e0c04","Microsoft.PowerShell.Core\FileSystem::C:\data\Workspace\Repository\Labautomation\BuildRequest","819dcac2-f719-44d5-9b03-c4a79c2e0c04","C","Microsoft.PowerShell.Core\FileSystem","True","4864","System.Object[]","7","   ?? 819dcac2-f719-44d5-9b03-c4a79c2e0c04\","d-----","819dcac2-f719-44d5-9b03-c4a79c2e0c04","System.Collections.Generic.List`1[System.String]",,"819dcac2-f719-44d5-9b03-c4a79c2e0c04","C:\data\Workspace\Repository\Labautomation\BuildRequest\819dcac2-f719-44d5-9b03-c4a79c2e0c04","BuildRequest","True","C:\","","06/26/2019 00:46:29","06/25/2019 19:16:29","06/26/2019 00:46:29","06/25/2019 19:16:29","06/26/2019 00:46:29","06/25/2019 19:16:29","Directory"
